id;name;summary;image_url;rating;lotype;country;updated_by;coordinates;notes;updated_at;primary_url
1;mobile Fish;Home Loan Account Table Computer;Trace;33370;Metal deposit;Austria;transmitter Implementation Electronics;Soap methodology Albania;Home Namibia;2019-11-30T06:59:49;Gorgeous Frozen Pants
2;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table;6505;Factors;Venezuela;cross-platform access;Public-key;infomediaries;2019-11-30T13:39:53;Buckinghamshire Games
3;incentivize Tuna copy;Costa Rica Mayotte;Industrial;84228;Views e-enable Communications;Reunion;archive Georgia Aruba;software scale interactive;Louisiana Specialist Home Loan Account;2019-11-30T09:58:11;scalable
4;Small;deliverables reinvent 24 hour;overriding;70685;application quantify Unbranded Plastic Tuna;Bouvet Island (Bouvetoya);IB Investment Account archive;envisioneer;moratorium pixel withdrawal;2019-11-29T19:18:03;Junction Frozen
5;synthesizing hard drive Robust;Avon;system Small;43933;red;Tokelau;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;2019-11-29T23:55:08;JSON
6;virtual deposit;Squares mint green e-business;Ghana back-end National;31800;Gorgeous Profit-focused synergies;Solomon Islands;SQL Games;Iraq Bedfordshire;Concrete 24/7 Directives;2019-11-30T08:50:12;Mauritania
7;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;97661;paradigms Home;Guadeloupe;deposit Canadian Dollar Lebanon;Designer Persistent;Handmade 24/7 Re-contextualized;2019-11-29T21:19:06;Point Orchestrator
8;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;51209;Future-proofed deposit Sausages;Papua New Guinea;synthesize Creative;Forint;Concrete Global SMS;2019-11-30T10:24:11;deposit
9;Designer Borders content-based;Tasty Customer Human;pink even-keeled;70035;programming SCSI drive;Timor-Leste;bypassing Marketing;Dynamic Home Loan Account Tools;Branding;2019-11-29T17:13:33;clear-thinking
10;Latvia;Ports Manager Fish;Networked;32539;navigate;Nigeria;calculating withdrawal Nevada;Berkshire;dedicated Persevering;2019-11-29T17:14:30;target Human withdrawal
